id;text_para;pre_na;pre_0
1015999;The International Business Cooperation Award;NA;1
1114418;The International Business Cooperation Award;NA;1
1120084;The International Business Cooperation Award;NA;1
1759505;The International Business Cooperation Award;NA;1
2102348;CROW SHOOTING - COMMISSION DENIES INTERFERING;NA;1
1375076;Pooling excellence in cardiovascular research;NA;NA
1003713;In 2014 we received almost 2500 notifications.;NA;NA
1465787;2. GUIDELINES FOR GOOD ADMINISTRATIVE BEHAVIOUR;NA;NA
2103640;REGIONAL POLICIES: COMMUNITY INITIATIVE ENVIREG;NA;1
1635594;President Juncker visits Portugal, 30-31 October;1;NA
1058394;October 2013: Flash Consumer Confidence Indicator;NA;NA
1652056;October 2013: Flash Consumer Confidence Indicator;NA;NA
2057333;October 2013: Flash Consumer Confidence Indicator;NA;NA
1300371;Further harmonisation and increased predictability;NA;NA
1962115;Eurobaromètre Standard 63 : vague de printemps 2005;NA;NA
1939557;Environmental protection and restoration activities;NA;NA
1774749;ESPRIT : 1984 PROJECTS AND 1985 OPERATIONS ANNOUNCED;NA;NA
2109132;ESPRIT : 1984 PROJECTS AND 1985 OPERATIONS ANNOUNCED;NA;NA
1101962;Programme for International Student Assessment 2000-2009;NA;1
844988;What more needs to be done;NA;1
2427;And thank you – all of you.;NA;1
299558;We do all suffer from that.;NA;1
299592;We do all suffer from that.;NA;1
1347061;What's the purpose of LIFE+?;NA;NA
64752;Because this law is their law.;NA;1
784381;The options of the Green Paper;NA;1
1561;But we have not stopped there.;NA;1
1367618;Getting the best from the Baltic;NA;1
199869;It would make us more adaptable,;NA;1
1648670;Fact sheet on EU-China relations:;1;NA
1648708;Fact sheet on EU-China relations:;1;NA
1513061;Research at the service of society;NA;NA
1499831;Commitments vis-à-vis third parties;NA;1
1327026;Gaza and the West Bank – 2 projects;NA;1
1912006;IT - Università degli Studi di Bari;1;NA
1396718;The proposal's main provisions are:;NA;1
547;So, we have reached this agreement.;NA;1
794173;State aid in the Candidate Countries;NA;1
1672248;Euro area annual inflation up to 2.3%;NA;1
1722321;Some of the expected impacts include:;NA;1
1722334;Some of the expected impacts include:;NA;1
1782947;EU-UK Trade and Cooperation Agreement;NA;NA
158289;Members of the European Expert Group.;NA;1
909134;Economic growth set to regain traction;NA;NA
1775996;Schengen is a symbol, worldwide known.;NA;NA
1491245;The Commission's priorities are clear:;NA;1
1514023;Charges without ADC or USO contribution;NA;NA
1912692;Improve matching of labour market needs;NA;NA
1939108;"Carry out targeted studies and surveys;";NA;1
1372056;Feeding into the European Research Area;NA;NA
859504;- what the economic implications will be;NA;1
527667;14 Member States have adopted the plans1;NA;1
1841268;14 Member States have adopted the plans1;NA;1
1649860;Generation Awake says Stop Wasting Waste!;NA;NA
1232305;The Urban Waste Water Treatment Directive;NA;NA
1270512;The Urban Waste Water Treatment Directive;NA;NA
1277652;The Urban Waste Water Treatment Directive;NA;NA
2102797;THE ECSC LAUNCHES TWO EUROSTERLING ISSUES;NA;NA
1275118;More information on the following website:;1;NA
1162285;No development without women's empowerment;NA;NA
1672057;No development without women's empowerment;NA;NA
2061055;No development without women's empowerment;NA;NA
56560;And only when necessary and proportionate.;NA;1
1065962;World expo will showcase space applications;NA;NA
1931107;The President's Cabinet has 7 nationalities.;NA;1
1249631;The Global Health Security Initiative (GHSI);NA;NA
1769046;Internal Market Scoreboard: Best result ever;NA;NA
2075057;Internal Market Scoreboard: Best result ever;NA;NA
1744698;European Commission's Representation in Spain;1;NA
1963267;New report identifies challenges of biometrics;NA;NA
2106287;RENEWAL OF TRANSPORT INFRASTRUCTURES IN EUROPE;NA;NA
1698242;Outcome of Commission meeting of 4 October 2006;1;NA
1765493;State aid: Commission improves procedural rules;NA;NA
1952866;State aid: Commission improves procedural rules;NA;NA
2071010;State aid: Commission improves procedural rules;NA;NA
1078474;- On assistance to the Neighbourhood countries:;NA;1
1944099;"Progress report on improving energy efficiency;";NA;NA
1775186;Economic discontinuity between Alitalia and ITA;NA;NA
1110412;European Survey on Language Competences project;NA;1
1973992;Price and cost competitiveness report (Q4/2002);NA;1
914105;"Panel 3 Climate change, environment/health; and";1;NA
914180;"Panel 3 Climate change, environment/health; and";1;NA
319734;28 June 2015, 65th Lindau Nobel Laureate Meeting;1;NA
319784;28 June 2015, 65th Lindau Nobel Laureate Meeting;1;NA
1220471;EUROCLIO – European Association of History Educators;1;NA
349623;Keynote introductory remarks, Eurofi Financial Forum;1;NA
1103;Strengthen the Humanitarian-Development-Peace Nexus.;NA;NA
718373;European Conservation of Agriculture Federation (ECAF);NA;NA
1056131;is outward looking and encourages internationalisation;NA;1
1894085;is outward looking and encourages internationalisation;NA;1
1946141;Factsheet - European Semester 2016: winter package explained;1;NA
1275671;The key elements of EU action are:;NA;1
2103064;VISIT BY SIR LEON BRITTAN TO JAPAN;1;NA
1774747;AID FOR STORAGE OF WINE IN GERMANY;NA;1
2103798;AID FOR STORAGE OF WINE IN GERMANY;NA;1
240901;We need to manage our borders today;NA;1
142597;"We have a legal framework in place;";NA;1
1931345;the type of goods and damage covered.;NA;1
1030118;New handbook on EU broadband state aid;NA;NA
1647944;New handbook on EU broadband state aid;NA;NA
2056497;New handbook on EU broadband state aid;NA;NA
1552999;With our proposal, we will ensure that:;NA;1
2100079;HUMANITARIAN AID TO THE PEOPLE OF GUINEA;NA;1
119538;Enhanced cooperation is key to all this.;NA;1
1776749;How can the new rules support innovation?;NA;NA
509905;We will create fair conditions for trade.;NA;NA
1641628;Prime Minister of the Republic of Croatia;1;NA
2414;Thanks to you, survivor voices are heard.;NA;1
1515208;EU joins North Korea nuclear security body;NA;1
2096005;EU joins North Korea nuclear security body;NA;1
687601;Conference “Putting the EU in the picture”;NA;1
236272;Others will follow, like on urban mobility.;NA;NA
1324941;European Network for the Teaching of History;1;NA
1785524;ADDED VALUE OF THE EUROPEAN LABOUR AUTHORITY;NA;1
412;Dear Members of the Lower Saxony Parliament,;NA;1
1957791;Commission clears acquisition of Inco by CVRD;NA;NA
504657;eGovernment is growing up to be weGovernment.;NA;NA
1950139;Commission clears acquisition of Zimbo by Bell;NA;NA
1234113;Health promotion and early detection of cancer;NA;NA
1509096;Employment in the public service in Luxembourg;NA;1
1001877;Under the final commitments, the parties will:;NA;1
627065;"• the Biomass Action Plan of December 2005; and";NA;NA
1226803;More information and webstreaming of the event:;1;NA
1383052;The Hydrogen and Fuel Cells Technology Platform;NA;NA
1748747;The other Commissioners-designate are as follows;NA;1
166105;Finally, we discussed the Capital Markets Union.;NA;NA
1016143;Better volcano forecasting boosted by EU funding;NA;NA
1645238;Better volcano forecasting boosted by EU funding;NA;NA
2056030;Better volcano forecasting boosted by EU funding;NA;NA
1087756;Commission adopts roadmap for reform of agencies;NA;1
1657767;Commission adopts roadmap for reform of agencies;NA;1
2058342;Commission adopts roadmap for reform of agencies;NA;1
879503;Communication on the European Year of Youth 2022;NA;1
214;Factsheet - EU Engagement in the Western Balkans;NA;1
930033;Factsheet - EU Engagement in the Western Balkans;NA;1
1789943;COLLEGE MEETING: A New European Innovation Agenda;NA;NA
849722;1) Role of Environment in the Enlargement process;NA;NA
1540021;World Health Organization – World Blood Donor Day;NA;1
728764;EU competitiveness actions speak louder than words;NA;1
1226785;Environment: Measuring progress in a changing world;NA;NA
1947979;Environment: Measuring progress in a changing world;NA;NA
2063807;Environment: Measuring progress in a changing world;NA;NA
358824;Connectivity empowers, and empowerment is our goal.;NA;NA
1798584;Commission welcomes EU ambassadors' vote on InvestEU;NA;NA
1778256;How will the Cybersecurity Emergency Mechanism work?;NA;NA
1080837;Three types of individual fellowships are supported:;NA;NA
1673469;Commission clears acquisition of transGourmet by Coop;NA;NA
1799764;SME funding: €12 million for innovators across Europe;NA;NA
1756853;The Heavily Indebted Poor Countries (HIPC) Initiative;NA;1
534601;75 % of the population aged 20-64 should be employed.;NA;1
1205726;75 % of the population aged 20-64 should be employed.;NA;1
1841669;75 % of the population aged 20-64 should be employed.;NA;1
1902075;75 % of the population aged 20-64 should be employed.;NA;1
1157731;AFRICAN INSTITUTE OF BIOMEDICAL SCIENCE AND TECHNOLOGY;1;NA
66523;A better interconnection between Lithuania and Latvia.;NA;1
1654486;Transport Council meeting in Luxembourg, Monday 10 June;1;NA
1592944;Press release - the Chemical Srategy for Sustainability;NA;1
889331;EU legislation combating racial or ethnic discrimination;NA;NA
209633;"Tackle vaccine hesitancy and increase vaccination uptake;";NA;1
1821678;"Tackle vaccine hesitancy and increase vaccination uptake;";NA;1
1646046;Agreement on additional restrictive measures against Russia;NA;1
994878;Slovenia reconfirmed its commitment to provide 2,000 places;NA;1
1889754;Slovenia reconfirmed its commitment to provide 2,000 places;NA;1
1989770;"60,000 more passengers taking cross border public transport;";NA;NA
1989777;"60,000 more passengers taking cross border public transport;";NA;NA
915050;European Commission: Directorate-General for International Partnerships;1;NA
1367486;Culture 2000 programme : 201 European cultural projects supported in 2003;NA;1
1968305;Culture 2000 programme : 201 European cultural projects supported in 2003;NA;1
2086233;Culture 2000 programme : 201 European cultural projects supported in 2003;NA;1
45814;I'll certainly put it in my agenda.;NA;1
238694;I am delighted it is up and running.;NA;1
85121;And with that, I hand over to Kadri.;NA;1
96351;How can we make sure of meeting them?;NA;1
504197;It is not a penalty but an incentive.;NA;1
1445336;Who will benefit from the scheme and how?;NA;1
1458757;Who will benefit from the scheme and how?;NA;1
259271;Allow me to share with you my impressions.;NA;1
259331;Allow me to share with you my impressions.;NA;1
1323589;Ms Durand will take up her duties shortly.;NA;1
788788;I think there are several reasons for this.;NA;1
101923;The world's energy system is changing fast.;NA;NA
169064;Which teach real lessons, for the road ahead.;NA;1
1548357;This will remain the line of your negotiator.;NA;1
194868;Knowledge and know-how was shared between us.;NA;NA
225601;I look forward to the discussions. Thank you.;NA;1
1953245;Commission clears acquisition of D&G by Advent;NA;NA
880783;Call to Action on Paris-aligned Carbon Markets;NA;1
446943;Europe, land of opportunity for the meat sector;NA;NA
369149;And of course my dear colleague Antonio Tajani,;NA;1
49174;And we must accelerate the substitution of gas.;NA;1
1377434;More information on agriculture and the WTO at:;1;NA
209632;We focus on clear and concrete deliverables to:;NA;1
1719521;This is written in the United Nations Convention;NA;1
1719555;This is written in the United Nations Convention;NA;1
407890;I would like to present today 10 key milestones:;NA;NA
1962199;Commission releases funds to fight AIDS in Libya;NA;NA
1780031;What is the context of this Joint Communication?;NA;NA
326216;Nobody should be under any illusions about that.;NA;1
151432;We will create a new, dedicated Health Programme.;NA;NA
320897;We need an open, integrated approach to industry.;NA;NA
351492;That has long inspired, informed and motivated me.;NA;1
1756759;Impact of EU humanitarian support for Syria crisis:;NA;NA
1546890;Michel Barnier met Steve Barclay in Brussels today.;1;NA
1220258;9 out of 10 Europeans want urgent action on poverty;NA;1
2063497;9 out of 10 Europeans want urgent action on poverty;NA;1
2421;A poll by Ecpat confirms this overwhelming support.;NA;NA
896186;Press release: €4 billion in pre-financing to Greece;NA;1
908709;Press release: €4 billion in pre-financing to Greece;NA;1
1579176;Press release: €4 billion in pre-financing to Greece;NA;1
1583664;Press release: €4 billion in pre-financing to Greece;NA;1
1326663;The report on allocated expenditure is available at:;1;NA
1259264;More information on Regional Policy is available at:;1;NA
1890140;However, over time, we have seen serious shortcoming.;NA;1
1890170;However, over time, we have seen serious shortcoming.;NA;1
1223457;European Research: experts call for a new renaissance;NA;NA
2063660;European Research: experts call for a new renaissance;NA;NA
378384;The political backing is there. The momentum remains.;NA;1
1444452;High-Level Body recapitulation of the overall package;NA;1
1501316;Insurance: Commission decides to refer France to Court;NA;1
2095045;Insurance: Commission decides to refer France to Court;NA;1
1002750;The trade mark package concerns two legal instruments:;NA;NA
2112515;Questions and answers on the Retail Investment Package;NA;NA
281206;But this does not explain citizens' hostility entirely.;NA;1
281235;But this does not explain citizens' hostility entirely.;NA;1
799071;Enlargement therefore comes at a very opportune moment.;NA;1
1948061;Commission clears joint venture between Mubadala and UTC;NA;NA
1799508;Statement by Commissioner Andriukaitis on World AIDS Day;1;NA
2097755;AGRICULTURAL COUNCIL : BEEF MARKET CAN NOW BE STABILISED;NA;1
1955400;Commission clears proposed acquisition of UGS by Siemens;NA;NA
1801587;Mergers: Commission clears acquisition of Impello by Shell;NA;NA
920039;Upcoming public consultation on the Bathing Water Directive;NA;1
1785554;Is disinformation a determinant for lower vaccine coverage?;NA;NA
1824574;"Responsible Private Sector Investment and Access to markets;";NA;NA
2106305;IMPROVEMENT OF AGRICULTURAL INCOMES IN THE COMMUNITY IN 1988;NA;1
1143699;The strategy lists 43 concrete actions which include notably:;NA;NA
1506825;Developing a method of coordination: an International Charter;NA;1
53781;Dear distinguished speakers and guests, ladies and gentlemen,;NA;1
422645;"""Developing a Tax Environment for Growth and Competitiveness""";NA;NA
979374;Strengthening the fight against terrorism and organised crime;NA;1
1786704;Commission clears acquisition of ANE by Hamburger Energiewerke;NA;NA
1154376;Downside risks to growth prevailing amid increased uncertainty;NA;1
1960232;Commission presents new agricultural market and income forecasts;NA;NA
1962031;Commission presents new agricultural market and income forecasts;NA;NA
1966637;Commission presents new agricultural market and income forecasts;NA;NA
1476018;Commission Communication on the resource implications of reform.;NA;NA
1478083;Commission Communication on the resource implications of reform.;NA;NA
2099558;"COMMISSION ADOPTS ""ROADS, PORTS & AIRPORTS"" PROGRAMME FOR GREECE";NA;1
646991;People want jobs: 20 million unemployed is totally unacceptable.;NA;1
1774751;CONCLUSION OF EEC-PAKISTAN NEGOCIATIONS : JOINT PRESS COMMUNIQUE;NA;1
2109136;CONCLUSION OF EEC-PAKISTAN NEGOCIATIONS : JOINT PRESS COMMUNIQUE;NA;1
1963831;Commission strongly condemns the recent violence in Darfur (28/1);NA;NA
1799221;Mergers: Commission clears acquisition of Comparex by SoftwareONE;NA;NA
2420;80% of Europeans support my proposal, according to Eurobarometer.;NA;1
1947329;ETF and partners consider ‘across campus' entrepreneurship education;NA;NA
1258978;on Intellectual property management by Public Research Organisations;NA;NA
1258993;on Intellectual property management by Public Research Organisations;NA;NA
1682804;• Memo Prospectus Directive: Frequently Asked Questions (see IP/09/1351);1;NA
1763630;Commission launches consultation on revised Impact Assessment Guidelines;NA;NA
1951564;Commission launches consultation on revised Impact Assessment Guidelines;NA;NA
2068904;Commission launches consultation on revised Impact Assessment Guidelines;NA;NA
2100341;COMMISSION CLEARS CONCENTRATION BETWEEN WINTERTHUR AND DBV- VERSICHERUNG;NA;1
1799798;Black Sea: Commission proposes sustainable fishing opportunities for 2019;NA;NA
1068175;Commission awards funding to 18 European sustainable mobility initiatives;NA;NA
1653806;Commission awards funding to 18 European sustainable mobility initiatives;NA;NA
2057658;Commission awards funding to 18 European sustainable mobility initiatives;NA;NA
1931714;5thframework programme of research and development: euro 3,630 million (+5%);NA;NA
1108;We owe it to Zamzam and millions like her.;NA;1
2425;To Guido I say: thank you for this initiative.;NA;1
1321843;In the coming years the Commission will focus on:;NA;1
562;And now, we will wait for the Belgian Presidency.;NA;1
1363;Some of the damage will be irreparable for years.;NA;1
565;And this is, of course, of the utmost importance.;NA;1
555514;In 2009 there would be an EU of 27 member states.;NA;1
560211;In 2009 there would be an EU of 27 member states.;NA;1
1692092;• Memo on the Package on Internal Market for goods;NA;1
1865777;We have to make the Council work more efficiently.;NA;1
220308;And I believe your alliance embodies it very well.;NA;1
1101951;‘Some people just cannot learn to read and write.';NA;1
33308;And to renew our global commitment to Zero Hunger.;NA;1
1270034;The study will focus on the following three themes:;NA;1
779589;Thank you for your warm welcome to this Convention.;NA;1
549821;The area of farmed land has been relatively stable.;NA;1
1842540;The area of farmed land has been relatively stable.;NA;1
1968989;EU support for a Small Projects Facility in Malaysia;NA;NA
354144;A three-pronged EU policy to support labour mobility;NA;NA
804432;Let me begin with some words on Agricultural Policy.;NA;1
94757;Thank you for inviting me to this timely discussion.;NA;1
1728;Thank you so much again and ‘Chag Chanukah Sameach'.;NA;1
1784359;What are the main findings of the convergence report?;NA;NA
1784903;What are the overall findings of the country reports?;NA;1
1090378;The impact on the environment will be reduced by 10%.;NA;NA
1096887;The impact on the environment will be reduced by 10%.;NA;NA
1896090;The impact on the environment will be reduced by 10%.;NA;NA
1896392;The impact on the environment will be reduced by 10%.;NA;NA
90347;Their reports save children's lives. All over Europe.;NA;1
1089894;Follow us on Twitter: https://twitter.com/EU_Consumer;1;NA
1096127;Follow us on Twitter: https://twitter.com/EU_Consumer;1;NA
1151298;Digital Agenda: awards for creative reuse of open data;NA;NA
1669719;Digital Agenda: awards for creative reuse of open data;NA;NA
2060624;Digital Agenda: awards for creative reuse of open data;NA;NA
59652;Today, over half of Europeans are overweight or obese.;NA;1
965686;Among the key improvements included in the Omnibus are:;NA;NA
1803437;Vice-President Šefčovič in Denmark for Energy Union Tour;1;NA
1384739;Information on the Common Agricultural Policy by e-mail?;1;NA
1317158;The programmes will be available on cable and satellite.;NA;NA
1528020;The Commission approves the financing of the Belgian TGV;NA;NA
2096864;The Commission approves the financing of the Belgian TGV;NA;NA
1042930;More information about the EU tourism policy and industry;1;NA
1796911;Aviation Safety: Commission adopts new EU Air Safety List;NA;NA
2051776;Aviation Safety: Commission adopts new EU Air Safety List;NA;NA
2051349;Aviation Safety: Commission adopts new EU Air Safety List;NA;NA
2049911;Aviation Safety: Commission adopts new EU Air Safety List;NA;NA
15921;The challenges facing these communities are clear to see.;NA;NA
1110562;Campaign website: http://ec.europa.eu/science-girl-thing/;1;NA
1586460;The new rules contain a number of improvements, including:;NA;1
1589131;The new rules contain a number of improvements, including:;NA;1
53171;The second building block: our green bonds and benchmarks.;NA;NA
75626;Moving them from being spatially blind to spatially aware.;NA;1
1974231;Euro-area : progressive shift from trade to domestic demand;NA;NA
1963602;Benita Ferrero-Waldner to meet New Zealand Foreign Minister;1;NA
1881544;Guidelines on State aid to promote risk finance investments;NA;NA
1884754;Guidelines on State aid to promote risk finance investments;NA;NA
1884763;Guidelines on State aid to promote risk finance investments;NA;NA
213;Factsheet – The EU accession process of the Western Balkans;1;NA
914231;Factsheet – The EU accession process of the Western Balkans;1;NA
930032;Factsheet – The EU accession process of the Western Balkans;1;NA
792101;Handing over of prize « Honoris Causa » - University of Pisa;1;NA
1470280;Mrs Maria Pia Filippone is appointed Deputy Secretary General;1;NA
2092738;Mrs Maria Pia Filippone is appointed Deputy Secretary General;1;NA
1249352;More information on European regional policy is available at:;1;NA
1252026;More information on European regional policy is available at:;1;NA
1360;The war brings unspeakable suffering to the Ukrainian people.;NA;1
1737030;I. Strengthening the suspension mechanism for visa-free travel;NA;NA
1777311;I. Strengthening the suspension mechanism for visa-free travel;NA;NA
1477288;2) Proportion of women to men in Information Society education;NA;NA
1823178;the completion of the first cycle of vulnerability assessments,;NA;NA
715258;Animal Transport: Consultation of EP on Revision of Legislation;NA;NA
1343933;The conference programme is available on the following website:;1;NA
1459991;Some examples can illustrate the extensiveness of the challenge:;NA;NA
900471;Factsheet – European Care Strategy for carers and care receivers;1;NA
1580882;Factsheet – European Care Strategy for carers and care receivers;1;NA
1547655;Commissioner Moedas and Minister Hirai said after their meeting:;NA;NA
1461620;1. Country having special relations with the Kingdom of Denmark:;NA;NA
1466326;1. Country having special relations with the Kingdom of Denmark:;NA;NA
1476593;1. Country having special relations with the Kingdom of Denmark:;NA;NA
64672;And law enforcement can arrest perpetrators and rescue children.;NA;NA
1158087;Information on Commission radio spectrum policy is available at:;1;NA
1221088;Information on Commission radio spectrum policy is available at:;1;NA
272411;"Call in 2014: 51 million euro; 12 projects are already on-going);";NA;NA
272456;"Call in 2014: 51 million euro; 12 projects are already on-going);";NA;NA
1827741;"Call in 2014: 51 million euro; 12 projects are already on-going);";NA;NA
1827764;"Call in 2014: 51 million euro; 12 projects are already on-going);";NA;NA
2100280;COMMISSION APPROVES CHANGE IN SHAREHOLDING OF AVESTA SHEFFIELD AB;NA;NA
853184;"""The Euro and Tourism: Opportunities and Strategies for Business""";NA;1
1770980;Commission bans 22 hair dye substances to increase consumer safety;NA;NA
2077289;Commission bans 22 hair dye substances to increase consumer safety;NA;NA
1504994;Network of centres to promote tourism career opportunities industry;NA;NA
1763147;Mergers: Commission clears proposed acquisition of Tinfos by Eramet;NA;NA
1951221;Mergers: Commission clears proposed acquisition of Tinfos by Eramet;NA;NA
2068340;Mergers: Commission clears proposed acquisition of Tinfos by Eramet;NA;NA
248;First, we start embedding strategic foresight into our policymaking.;NA;NA
1356469;Structural Funds: European Regional Innovation Awards for nine regions;NA;NA
2085612;Structural Funds: European Regional Innovation Awards for nine regions;NA;NA
1634966;Juncker Plan launches projects worth around €730 million across Europe;NA;NA
172351;Our third priority focuses on resilient investments and infrastructure.;NA;NA
2107628;INTEGRATED MEDITERRANEAN PROGRAMME FOR WESTERN GREECE AND THE PELOPONNESE;NA;1
1041662;State aid: Commission approves restructuring of Cypriot cooperative banks;NA;NA
1649437;State aid: Commission approves restructuring of Cypriot cooperative banks;NA;NA
2056839;State aid: Commission approves restructuring of Cypriot cooperative banks;NA;NA
1912543;the effectiveness of capacity-building activities in developing countries,;NA;NA
1025732;Working together for safe products: International Product Safety Week 2014;NA;NA
1647185;Working together for safe products: International Product Safety Week 2014;NA;NA
2056369;Working together for safe products: International Product Safety Week 2014;NA;NA
1171406;"Commissioners Piebalgs, Hedegaard and Füle announce ""Climate Change Windows""";NA;NA
1674264;"Commissioners Piebalgs, Hedegaard and Füle announce ""Climate Change Windows""";NA;NA
2061486;"Commissioners Piebalgs, Hedegaard and Füle announce ""Climate Change Windows""";NA;NA
1371884;Textiles and clothing: Commission proposes measures to promote competitiveness;NA;NA
2086485;Textiles and clothing: Commission proposes measures to promote competitiveness;NA;NA
1019072;EU increases humanitarian assistance for Ukrainian conflict-affected population;NA;1
2056127;EU increases humanitarian assistance for Ukrainian conflict-affected population;NA;1
1220531;Environment: Commission launches search for European Green Capitals 2012 and 2013;NA;NA
1947546;Environment: Commission launches search for European Green Capitals 2012 and 2013;NA;NA
2063514;Environment: Commission launches search for European Green Capitals 2012 and 2013;NA;NA
1976969;Republic of Suriname: European Commission agrees€19.1 million Cooperation Programme;NA;NA
1958570;Preparation of the Informal Competitiveness Council of Ministers (10-11, Jyväskylä);1;NA
1658659;"Transport: First transport business summit – ""Connect to Compete"" – 27 November 2012";1;NA
1658307;(for more information: MEMO/12/935 - S. O'Connor – Tel. +32 229 67359– Mobile +32 460 76 7359);1;NA
1600196;"(For more information: Johannes Bahrke – Tel.: +32 2 295 86 15; Thomas Regnier - Tel: +32 2 291 33 91)";1;NA
1600265;"(For more information: Johannes Bahrke – Tel.: +32 2 295 86 15; Thomas Regnier - Tel: +32 2 291 33 91)";1;NA
636;To divert your R&I funds toward the war efforts.;NA;NA
1956407;Margot Wallström à la Maison de l'Europe de Paris;1;NA
101431;I am proud that Europe is part of this endeavour.;NA;1
362231;In summary: we agree on more than we disagree on.;NA;1
1581;These are some of the actions I wanted to outline.;NA;1
519765;III. What are the challenges to which we must rise?;NA;NA
1815037;"To preserve the integrity of the EU's Single Market;";NA;1
703022;For one last time, I look forward to your questions.;NA;1
1818115;The UK Command Paper published on 20th May is useful.;NA;1
1129;So, despite all that we are doing for the Ukrainians.;NA;1
1617142;More information about 5G in the EU is available here.;1;NA
407032;EP BUDG Committee with VP Rehn and EIB President Hoyer;NA;NA
2426;Thank you for this petition in support of my proposal.;NA;1
1871881;The question is, of course, whether all this is enough?;NA;1
1871948;The question is, of course, whether all this is enough?;NA;1
114394;From Asia's megacities to Africa's most remote villages.;NA;1
830164;It's a formidable challenge for you, I acknowledge that.;NA;1
284865;I wish you a productive and enlightening day. Thank you.;NA;1
284912;I wish you a productive and enlightening day. Thank you.;NA;1
1867824;a Common European Asylum System, and, in the longer term,;NA;1
1854792;The European Food Safety Authority is now up and running.;NA;1
149548;It is clear – the strategy is ambitious and far-reaching.;NA;1
1659856;Kroes proposes radical new ways to spend EU research money;NA;NA
1368867;The full text of the consultation document is available at:;1;NA
30496;I wish you a very productive forum and fruitful discussion!;NA;1
1541831;Our response to the crisis has been swift and unprecedented.;NA;1
311253;For me this is what performance budgeting means in practice.;NA;NA
311292;For me this is what performance budgeting means in practice.;NA;NA
879499;As part of these measures, the Commission will, for example:;NA;1
1969041;Speech by Poul Nielson at the annual ECHO Partners Conference;NA;NA
1969044;Speech by Poul Nielson at the annual ECHO Partners Conference;NA;NA
297627;Finance will be critical to the global low-carbon transition.;NA;NA
656;It will amplify Ukrainian participation in our R&I programme.;NA;NA
18684;Ladies and gentlemen, your support so far has been essential.;NA;1
